jobID,OBOR_nazev,addr,MIN_VZDELANI_nazev
1006970775,Služby,"196, Dolní Třebonín",Střední odborné (vyučen)
1059990781,Zdravotnictví,"Šmilovského 640, Nýrsko",ÚSO s maturitou (bez vyučení)
110870710,Výroba a provoz,"Pivovarská 178, Žebrák",Základní + praktická škola
111240765,Doprava,"Sezemická 2853, Praha",Střední odborné (vyučen)
113140704,Obchod a cestovní ruch,"náměstí Republiky 286, Bor",Střední odborné (vyučen)
1134840734,Zemědělství a lesnictví,"Rejta 428, Trhové Sviny",Základní + praktická škola
116050704,Obchod a cestovní ruch,"Kapitána Jaroše 59, Svitavy",Základní + praktická škola
116510775,Obchod a cestovní ruch,"Purkyňova 3007, Dvůr Králové nad Labem",Střední odborné (vyučen)
1178920735,Výroba a provoz,"Na Cintlovce 1468, Hořovice",Základní + praktická škola
1186990747,Výroba a provoz,"Zemědělců 72, Tuchlovice",ÚSO (vyučení s maturitou)
1198420742,Zemědělství a lesnictví,"118, Všeruby",Střední odborné (vyučen)
1203360758,Obrana a ochrana,"Rudolfovská tř. 371, České Budějovice",Střední odborné (vyučen)
122730706,Výroba a provoz,"Raisova 5484, Chomutov",Základní + praktická škola
123860756,Výroba a provoz,"1, Tis u Blatna",Základní + praktická škola
1248160790,Služby,"Táborská 568, Týn nad Vltavou",Střední odborné (vyučen)
127060786,Obchod a cestovní ruch,"109, Špindlerův Mlýn",ÚSO s maturitou (bez vyučení)
130660747,Zdravotnictví,"náměstí Svobody 272, Janské Lázně",ÚSO s maturitou (bez vyučení)
133440767,Zdravotnictví,"245, Vinařice",Vysokoškolské
1343210702,Služby,"U Tří mostů 844, Svitavy",Základní + praktická škola
1344690728,Služby,"236, Všeruby",Střední odborné (vyučen)
1368150760,Výroba a provoz,"135, Zahořany",Základní + praktická škola
1375330797,Obchod a cestovní ruch,"280, Špindlerův Mlýn",Střední odborné (vyučen)
138150796,Výroba a provoz,"100, Rozvadov",Střední odborné (vyučen)
139530718,Stavebnictví,"102, Studenec",Střední odborné (vyučen)
141170794,Stavebnictví,"102, Studenec",Střední odborné (vyučen)
1439890796,Výroba a provoz,"Budovatelů 323, Třemošnice",Střední odborné (vyučen)
145680712,Finance,"Kostelní náměstí 16, Prachatice",ÚSV
146460786,Doprava,"Nádražní 570, Bor",Základní + praktická škola
150940731,Zemědělství a lesnictví,"118, Blatno",Střední odborné (vyučen)
1524530765,Stavebnictví,"397, Podlesí",Střední odborné (vyučen)
1553900716,Obchod a cestovní ruch,"Rudolfovská tř. 464, České Budějovice",Základní + praktická škola
1558010703,Obchod a cestovní ruch,"125, Litomyšl",ÚSV
1558870705,Doprava,"337, Dobřív",Střední odborné (vyučen)
157420719,Obchod a cestovní ruch,"náměstí Svobody 272, Janské Lázně",Střední odborné (vyučen)
1584620713,Výroba a provoz,"Zámecká 2, Údlice",Základní + praktická škola
16280772,Informační technologie,"Žižkova 708, Příbram",Vysokoškolské
1630260765,Obchod a cestovní ruch,"č.e. 905, Čeladná",Střední odborné (vyučen)
1632490795,Výroba a provoz,"Na Cintlovce 1468, Hořovice",Základní + praktická škola
1636160790,Zdravotnictví,"271, Jaroměřice",ÚSO s maturitou (bez vyučení)
1650150712,Výroba a provoz,"132, Bojkovice",ÚSO (vyučení s maturitou)
1651820761,Doprava,"Beethovenova 5603, Chomutov",Základní + praktická škola
165710727,Zdravotnictví,"Vrchlického 1504, Dvůr Králové nad Labem",Vysokoškolské
1662660705,Výroba a provoz,"Husova 552, Louny",Střední odborné (vyučen)
1665190756,Obrana a ochrana,"Moskevská 1523, Praha",Základní + praktická škola
1666280745,Obchod a cestovní ruch,"115, Hajnice",Základní + praktická škola
1666390743,Služby,"Ke Zvoli 285, Dolní Břežany",Střední odborné (vyučen)
1667320779,Informační technologie,"Spojovací 473, Velká Dobrá",ÚSO s maturitou (bez vyučení)
172610725,Zdravotnictví,"Eimova 294, Polička",Vysokoškolské
1726890710,Doprava,"K Letišti 688, Klatovy",Střední odborné (vyučen)
174710775,Zdravotnictví,"Máchova 400, Benešov",Vysokoškolské
1751870732,Zdravotnictví,"I. P. Pavlova 552, Krnov",Vysokoškolské
1752920757,Zdravotnictví,"I. P. Pavlova 552, Krnov",Vysokoškolské
1755280767,Zdravotnictví,"I. P. Pavlova 552, Krnov",Vysokoškolské
1755310740,Zdravotnictví,"I. P. Pavlova 552, Krnov",Vysokoškolské
1755760723,Zdravotnictví,"I. P. Pavlova 552, Krnov",Vysokoškolské
176290711,Výroba a provoz,"Plzeňská 1054, Třemošná",Střední odborné (vyučen)
1767950713,Výroba a provoz,"Březenecká 4799, Chomutov",Střední odborné (vyučen)
177040715,Doprava,"Přepeřská 1602, Turnov",Střední odborné (vyučen)
1773760722,Obchod a cestovní ruch,"B. Němcové 158, Litomyšl",Střední odborné (vyučen)
1778110784,Obchod a cestovní ruch,"nan, Chvalovice",Střední odborné (vyučen)
1793140740,Doprava,"Vesecko 420, Turnov",Střední odborné (vyučen)
1803800749,Výroba a provoz,"Bratří Nejedlých 211, Beroun",Základní + praktická škola
182130790,Výroba a provoz,"122, Dolní Branná",Střední odborné (vyučen)
1852020710,Obchod a cestovní ruch,"Kamenná 219, Cheb",ÚSV
185640735,Finance,"Lidická 1206, Jablonec nad Nisou",ÚSO s maturitou (bez vyučení)
1882380740,Doprava,"Sklenářka 795, Hořovice",Střední odborné (vyučen)
1884760732,Výroba a provoz,"nan, Bratkovice",Střední odborné (vyučen)
195180782,Obchod a cestovní ruch,"Plzeňská 47, Kaznějov",Střední odborné (vyučen)
1953020796,Služby,"Hlavní 1606, Frýdlant nad Ostravicí",Střední odborné (vyučen)
1954970787,Výroba a provoz,"Palackého třída 1379, Brno",Střední odborné (vyučen)
195510776,Obchod a cestovní ruch,"Puchmayerova 119, Chomutov",Střední odborné (vyučen)
1966310766,Služby,"Průmyslová 176, Český Krumlov",Základní + praktická škola
1973730781,Doprava,"Tovární 38, Králův Dvůr",Základní + praktická škola
1975640711,Doprava,"457, Palkovice",Střední odborné (vyučen)
1994540773,Doprava,"23, Částkov",Základní + praktická škola
2000430710,Výroba a provoz,"Jateční 842, Klatovy",ÚSO s maturitou (bez vyučení)
2013660734,Výroba a provoz,"Nádražní 697, Pacov",Střední odborné (vyučen)
2015390729,Výroba a provoz,"Latrán 43, Velešín",Střední odborné (vyučen)
2053180765,Doprava,"K Vypichu 1087, Rudná",Základní + praktická škola
2061140779,Služby,"Poděbradova 574, Brno",Střední odborné (vyučen)
2066290703,Obchod a cestovní ruch,"Nádražní 214, Klášterec nad Ohří",ÚSO s maturitou (bez vyučení)
2087850796,Zemědělství a lesnictví,"1, Frýdek-Místek",Základní + praktická škola
2092620771,Obchod a cestovní ruch,"České Vrbné 2360, České Budějovice",ÚSO (vyučení s maturitou)
2097620733,Stavebnictví,"Hlavní 322, Svitavy",Střední odborné (vyučen)
2130810738,Výroba a provoz,"Březová 1537, Turnov",Střední odborné (vyučen)
2145200785,Doprava,"Pražská nan, Chomutov",Základní + praktická škola
2160860756,Výroba a provoz,"Královský Vrch 1986, Kadaň",Střední odborné (vyučen)
2165500751,Obchod a cestovní ruch,"Americká 2772, Kladno",ÚSO s maturitou (bez vyučení)
2169810752,Výroba a provoz,"Hyundai 700, Nošovice",Základní + praktická škola
2180050751,Výroba a provoz,"300, Lipno nad Vltavou",Střední odborné (vyučen)
2182390779,Doprava,"Jakoubka ze Stříbra 377, Chomutov",Střední odborné (vyučen)
2194200723,Obchod a cestovní ruch,"264, Špindlerův Mlýn",Střední odborné (vyučen)
2201350787,Obchod a cestovní ruch,"Brněnská 801, Svitavy",Střední odborné (vyučen)
2209440781,Zdravotnictví,"Tovární 19, Jirny",Vysokoškolské
2214570723,Výroba a provoz,"95, Brloh",Střední odborné (vyučen)
222890772,Výroba a provoz,"173, Těšetice",Střední odborné (vyučen)
2233410742,Služby,"26, Dubá",Střední odborné (vyučen)
2235250735,Doprava,"27, Dubá",Střední odborné (vyučen)
2252930731,Obrana a ochrana,"245, Vinařice",ÚSO s maturitou (bez vyučení)
2278590723,Výroba a provoz,"náměstí Bohumila Havlasy 85, Strunkovice nad Blanicí",Základní + praktická škola
2279930778,Výroba a provoz,"Okružní 3834, Havlíčkův Brod",Základní + praktická škola
2281030758,Výroba a provoz,"Československé armády 322, Slavkov u Brna",Střední odborné (vyučen)
2283780708,Doprava,"Rooseveltova 584, Brno",Základní + praktická škola
2308480788,Doprava,"Husova 740, Nýrsko",Střední odborné (vyučen)
2317870776,Služby,"Riegrova 1745, České Budějovice",Střední odborné (vyučen)
2324880772,Obchod a cestovní ruch,"U družstva Ideál 1516, Praha",Bez vzdělání
2328010768,Výroba a provoz,"Průmyslová 2067, Svitavy",Střední odborné (vyučen)
2332820707,Výroba a provoz,"Butovická 317, Studénka",Střední odborné (vyučen)
2336840775,Výroba a provoz,"Nádražní 251, Kdyně",Střední odborné (vyučen)
2341510743,Výroba a provoz,"Vltavská 53, Roztoky",Střední odborné (vyučen)
2347660737,Služby,"Bavorská 856, Praha",Střední odborné (vyučen)
2355070761,Zdravotnictví,"I. P. Pavlova 552, Krnov",Vysokoškolské
2395470776,Obchod a cestovní ruch,"Řípská 1125, Brno",Střední odborné (vyučen)
2396020766,Výroba a provoz,"Slunečná 970, Odry",Střední odborné (vyučen)
2405560716,Obrana a ochrana,"Minoritská 473, Brno",Základní + praktická škola
2405920780,Obchod a cestovní ruch,"Růžový pahorek 550, Frýdek-Místek",Střední odborné (vyučen)
2407880762,Výroba a provoz,"Strojírenská 381, Sedlčany",Střední odborné (vyučen)
2407890753,Výroba a provoz,"Strojírenská 381, Sedlčany",Střední odborné (vyučen)
2433290785,Stavebnictví,"Jana Čarka 1863, České Budějovice",Základní + praktická škola
2435390738,Zemědělství a lesnictví,"215, Vlčice",Základní + praktická škola
2449250777,Výroba a provoz,"Karla Uhlíře 1917, České Budějovice",Střední odborné (vyučen)
2455520760,Obchod a cestovní ruch,"Okružní 7, České Budějovice",Střední odborné (vyučen)
2468800739,Služby,"Josefa Stancla 153, Uherské Hradiště",Střední odborné (vyučen)
2493420794,Doprava,"48, Lomec",Střední odborné (vyučen)
25050736,Výroba a provoz,"Mařákova 931, Litomyšl",Střední odborné (vyučen)
2506640730,Výroba a provoz,"1, Mladé Buky",Střední odborné (vyučen)
2511000783,Výroba a provoz,"Průmyslová 711, Znojmo",Střední odborné (vyučen)
2515200786,Výroba a provoz,"Tovární 7, Český Krumlov",Střední odborné (vyučen)
25160734,Doprava,"62, Topolná",Základní + praktická škola
2542420732,Výroba a provoz,"168, Malá Hraštice",Střední odborné (vyučen)
2544810715,Obchod a cestovní ruch,"611, Harrachov",Střední odborné (vyučen)
2552200757,Obchod a cestovní ruch,"Palánek 374, Vyškov",ÚSO s maturitou (bez vyučení)
2554080714,Výroba a provoz,"Budovatelů 323, Třemošnice",Střední odborné (vyučen)
2554090705,Výroba a provoz,"Budovatelů 323, Třemošnice",Střední odborné (vyučen)
2558210780,Výroba a provoz,"Oldřichovská 1437, Tachov",Střední odborné (vyučen)
2563090753,Služby,"Vídeňská 157, Brno",Střední odborné (vyučen)
2566780730,Informační technologie,"Chobot 1578, Kroměříž",Vyšší odborné
2576430775,Obchod a cestovní ruch,"Holandská 854, Brno",ÚSO s maturitou (bez vyučení)
2579030763,Výroba a provoz,"15, Rostěnice-Zvonovice",Střední odborné (vyučen)
