datum,mesicrok,volnamista
2009-06-30,červen 2009,"43,4"
2009-07-31,červenec 2009,"41,8"
2009-08-31,srpen 2009,"41,3"
2009-09-30,září 2009,"38,8"
2009-10-31,říjen 2009,"35,8"
2009-11-30,listopad 2009,"32,9"
2009-12-31,prosinec 2009,"30,9"
2010-01-31,leden 2010,"31,6"
2010-02-28,únor 2010,"32,1"
2010-03-31,březen 2010,"33,1"
2010-04-30,duben 2010,"32,9"
2010-05-31,květen 2010,"33,1"
2010-06-30,červen 2010,"32,9"
2010-07-31,červenec 2010,"33,5"
2010-08-31,srpen 2010,"36,6"
2010-09-30,září 2010,"35,1"
2010-10-31,říjen 2010,"33,7"
2010-11-30,listopad 2010,"32,3"
2010-12-31,prosinec 2010,"30,8"
2011-01-31,leden 2011,"31,4"
2011-02-28,únor 2011,"32,2"
2011-03-31,březen 2011,"33,9"
2011-04-30,duben 2011,"36,1"
2011-05-31,květen 2011,"37,6"
2011-06-30,červen 2011,"38,4"
2011-07-31,červenec 2011,"38,9"
2011-08-31,srpen 2011,"40,8"
2011-09-30,září 2011,"39,8"
2011-10-31,říjen 2011,"38,7"
2011-11-30,listopad 2011,"36,8"
2011-12-31,prosinec 2011,"35,8"
2012-01-31,leden 2012,"34,5"
2012-02-29,únor 2012,"36,7"
2012-03-31,březen 2012,"39,9"
2012-04-30,duben 2012,"41,7"
2012-05-31,květen 2012,"43,7"
2012-06-30,červen 2012,"42,8"
2012-07-31,červenec 2012,"41,1"
2012-08-31,srpen 2012,"42,6"
2012-09-30,září 2012,"40,8"
2012-10-31,říjen 2012,"40,7"
2012-11-30,listopad 2012,"38,8"
2012-12-31,prosinec 2012,"34,9"
2013-01-31,leden 2013,"33,8"
2013-02-28,únor 2013,"34,6"
2013-03-31,březen 2013,"38,9"
2013-04-30,duben 2013,"39,8"
2013-05-31,květen 2013,"42,6"
2013-06-30,červen 2013,44
2013-07-31,červenec 2013,"40,2"
2013-08-31,srpen 2013,"40,6"
2013-09-30,září 2013,"41,4"
2013-10-31,říjen 2013,"39,1"
2013-11-30,listopad 2013,"37,5"
2013-12-31,prosinec 2013,"35,2"
2014-01-31,leden 2014,"36,4"
2014-02-28,únor 2014,"38,3"
2014-03-31,březen 2014,"40,8"
2014-04-30,duben 2014,"44,2"
2014-05-31,květen 2014,48
2014-06-30,červen 2014,"49,5"
2014-07-31,červenec 2014,"51,1"
2014-08-31,srpen 2014,"54,7"
2014-09-30,září 2014,"56,6"
2014-10-31,říjen 2014,"58,2"
2014-11-30,listopad 2014,"59,4"
2014-12-31,prosinec 2014,"58,7"
2015-01-31,leden 2015,"62,3"
2015-02-28,únor 2015,69
2015-03-31,březen 2015,76
2015-04-30,duben 2015,"83,7"
2015-05-31,květen 2015,"92,7"
2015-06-30,červen 2015,97
2015-07-31,červenec 2015,"98,1"
2015-08-31,srpen 2015,"103,8"
2015-09-30,září 2015,"108,6"
